"","Title","Author","Subject","Abstract","date"
"95","llms can generate robotic scripts from goal-oriented instructions in biological laboratory automation","takashi inagaki, akari kato, koichi takahashi, haruka ozaki, genki n. kanda","quantitative methods","the use of laboratory automation by all researchers may substantially accelerate scientific activities by humans, including those in the life sciences. however, computer programs to operate robots should be written to implement laboratory automation, which requires technical knowledge and skills that may not be part of a researcher's training or expertise. in the last few years, there has been remarkable development in large language models (llms) such as gpt-4, which can generate computer codes based on natural language instructions. in this study, we used llms, including gpt-4, to generate scripts for robot operations in biological experiments based on ambiguous instructions. gpt-4 successfully generates scripts for ot-2, an automated liquid-handling robot, from simple instructions in natural language without specifying the robotic actions. conventionally, translating the nuances of biological experiments into low-level robot actions requires researchers to understand both biology and robotics, imagine robot actions, and write robotic scripts. our results showed that gpt-4 can connect the context of biological experiments with robot operation through simple prompts with expert-level contextual understanding and inherent knowledge. replacing robot script programming, which is a tedious task for biological researchers, with natural-language llm instructions that do not consider robot behavior significantly increases the number of researchers who can benefit from automating biological experiments.",2023-04-18
"96","a neural lambda calculus: neurosymbolic ai meets the foundations of computing and functional programming","joão flach, luis c. lamb","machine learning","over the last decades, deep neural networks based-models became the dominant paradigm in machine learning. further, the use of artificial neural networks in symbolic learning has been seen as increasingly relevant recently. to study the capabilities of neural networks in the symbolic ai domain, researchers have explored the ability of deep neural networks to learn mathematical constructions, such as addition and multiplication, logic inference, such as theorem provers, and even the execution of computer programs. the latter is known to be too complex a task for neural networks. therefore, the results were not always successful, and often required the introduction of biased elements in the learning process, in addition to restricting the scope of possible programs to be executed. in this work, we will analyze the ability of neural networks to learn how to execute programs as a whole. to do so, we propose a different approach. instead of using an imperative programming language, with complex structures, we use the lambda calculus ({\lambda}-calculus), a simple, but turing-complete mathematical formalism, which serves as the basis for modern functional programming languages and is at the heart of computability theory. we will introduce the use of integrated neural learning and lambda calculi formalization. finally, we explore execution of a program in {\lambda}-calculus is based on reductions, we will show that it is enough to learn how to perform these reductions so that we can execute any program. keywords: machine learning, lambda calculus, neurosymbolic ai, neural networks, transformer model, sequence-to-sequence models, computational models",2023-04-18
"97","magnitude of arithmetic scalar and matrix categories","steve huntsman","category theory","we develop tools for explicitly constructing categories enriched over generating data and that compose via ordinary scalar and matrix arithmetic arithmetic operations. we characterize meaningful size maps, weightings, and magnitude that reveal features analogous to outliers that these same notions have previously been shown to reveal in the context of metric spaces. throughout, we provide examples of such ""outlier detection"" relevant to the analysis of computer programs, neural networks, cyber-physical systems, and networks of communications channels.",2023-04-17
"98","dialogue games for benchmarking language understanding: motivation, taxonomy, strategy","david schlangen","computation and language","how does one measure ""ability to understand language""? if it is a person's ability that is being measured, this is a question that almost never poses itself in an unqualified manner: whatever formal test is applied, it takes place on the background of the person's language use in daily social practice, and what is measured is a specialised variety of language understanding (e.g., of a second language; or of written, technical language). computer programs do not have this background. what does that mean for the applicability of formal tests of language understanding? i argue that such tests need to be complemented with tests of language use embedded in a practice, to arrive at a more comprehensive evaluation of ""artificial language understanding"". to do such tests systematically, i propose to use ""dialogue games"" -- constructed activities that provide a situational embedding for language use. i describe a taxonomy of dialogue game types, linked to a model of underlying capabilites that are tested, and thereby giving an argument for the \emph{construct validity} of the test. i close with showing how the internal structure of the taxonomy suggests an ordering from more specialised to more general situational language understanding, which potentially can provide some strategic guidance for development in this field.",2023-04-14
"99","emergent autonomous scientific research capabilities of large language models","daniil a. boiko, robert macknight, gabe gomes","chemical physics","transformer-based large language models are rapidly advancing in the field of machine learning research, with applications spanning natural language, biology, chemistry, and computer programming. extreme scaling and reinforcement learning from human feedback have significantly improved the quality of generated text, enabling these models to perform various tasks and reason about their choices. in this paper, we present an intelligent agent system that combines multiple large language models for autonomous design, planning, and execution of scientific experiments. we showcase the agent's scientific research capabilities with three distinct examples, with the most complex being the successful performance of catalyzed cross-coupling reactions. finally, we discuss the safety implications of such systems and propose measures to prevent their misuse.",2023-04-11
"100","a native measurement-based qaoa algorithm, applied to the max k-cut problem","massimiliano proietti, filippo cerocchi, massimiliano dispenza","quantum physics","photonic quantum computers, programmed within the framework of the measurement-based quantum computing (mbqc), currently concur with gate-based platforms in the race towards useful quantum advantage, and some algorithms emerged as main candidates to reach this goal in the near term. yet, the majority of these algorithms are only expressed in the gate-based model of computation, which is incompatible with photonic platforms. methods to translate gate-based algorithms into the mbqc framework exist, but they are not always optimal in terms of resource cost. in our work, we propose an mbqc algorithm to run the quantum approximate optimization algorithm (qaoa). furthermore, we apply the mbqc-qaoa algorithm to the max $k$-cut problem, working for all values of $k$, expressing the cost hamiltonian and its constraints in a form easily implementable in the mbqc model. we conclude analyzing the resource-cost of our algorithm, compared to the case of translating a gate-based qaoa algorithm into mbqc rules showing up to a 30-fold improvement. with our work, we contribute to close the gap between gate-based and mbqc near-term algorithms, a gap not reflecting the current status of the hardware development.",2023-04-07
"101","gi software with fewer data cache misses","william b. langdon, justyna petke, aymeric blot, david clark","neural and evolutionary computing","by their very name caches are often overlooked and yet play a vital role in the performance of modern and indeed future hardware. using magpie (machine automated general performance improvement via evolution of software) we show genetic improvement gi can reduce the cache load of existing computer programs. operating on lines of c and c++ source code using local search, magpie can generate new functionally equivalent variants which generate fewer l1 data cache misses. cache miss reduction is tested on two industrial open source programs (google's open location code olc and uber's hexagonal hierarchical spatial index h3) and two 2d photograph image processing tasks, counting pixels and opencv's seeds segmentation algorithm.
magpie's patches functionally generalise. in one case they reduce data misses on the highest performance l1 cache dramatically by 47 percent.",2023-04-06
"102","hotgp -- higher-order typed genetic programming","matheus campos fernandes, fabrício olivetti de frança, emilio francesquini","neural and evolutionary computing","program synthesis is the process of generating a computer program following a set of specifications, which can be a high-level description of the problem and/or a set of input-output examples. the synthesis can be modeled as a search problem in which the search space is the set of all the programs valid under a grammar. as the search space is vast, brute force is usually not viable and search heuristics, such as genetic programming, also have difficulty navigating it without any guidance. in this paper we present hotgp, a new genetic programming algorithm that synthesizes pure, typed, and functional programs. hotgp leverages the knowledge provided by the rich data-types associated with the specification and the built-in grammar to constrain the search space and improve the performance of the synthesis. the grammar is based on haskell's standard base library (the synthesized code can be directly compiled using any standard haskell compiler) and includes support for higher-order functions, $\lambda$-functions, and parametric polymorphism. experimental results show that, when compared to $6$ state-of-the-art algorithms using a standard set of benchmarks, hotgp is competitive and capable of synthesizing the correct programs more frequently than any other of the evaluated algorithms.",2023-04-06
"103","classification and enumeration of lattice polygons in a disc","qiuyue liu, yuqin zhang, zhanyuan cai","metric geometry","in 1980, v. i. arnold studied the classification problem for convex lattice polygons of given area. since then, this problem and its analogues have been studied by many authors, including $\mathrm{b\acute{a}r\acute{a}ny}$, lagarias, pach, santos, ziegler and zong. recently, zong proposed two computer programs to prove hadwiger's covering conjecture and borsuk's partition problem, respectively, based on enumeration of the convex lattice polytopes contained in certain balls. for this purpose, similar to $\mathrm{b\acute{a}r\acute{a}ny}$ and pach's work on volume and liu and zong's work on cardinality, we obtain bounds on the number of non-equivalent convex lattice polygons in a given disc. furthermore, we propose an algorithm to enumerate these convex lattice polygons.",2023-03-27
"104","openscv: an open hierarchical taxonomy for smart contract vulnerabilities","fernando richter vidal, naghmeh ivaki, nuno laranjeiro","cryptography and security","smart contracts are nowadays at the core of most blockchain systems, as they specify and allow an agreement between entities that wish to perform a transaction. as any computer program, smart contracts are subject to the presence of residual faults, including severe security vulnerabilities, which require that the vulnerable contract is terminated in the blockchain. in this context, research began to be developed to prevent the deployment of smart contract holding vulnerabilities, mostly in the form of vulnerability detection tools. along with these efforts, several and heterogeneous vulnerability classification schemes arised (e.g., most notably dasp and swc). at the time of writing, these are mostly outdated initiatives, despite the fact that smart contract vulnerabilities are continuously being discovered and the associated rich information being mostly disregarded. in this paper, we propose openscv, a new and open hierarchical taxonomy for smart contract vulnerabilities, which is open to community contributions and matches the current state of the practice, while being prepared to handle future modifications and evolution. the taxonomy was built based on the analysis of research on vulnerability classification, community-maintained classification schemes, and research on smart contract vulnerability detection. we show how openscv covers the announced detection ability of current vulnerability detection tools, and highlight its usefulness as a resource in smart contract vulnerability research.",2023-03-25
"105","the first computer program","raúl rojas","general literature","in 1837, the first computer program in history was sketched by the renowned mathematician and inventor charles babbage. it was a program for the analytical engine. the program consists of a sequence of arithmetical operations and the necessary variable addresses (memory locations) of the arguments and the result, displayed in tabular fashion, like a program trace. the program computes the solutions for a system of two linear equations in two unknowns.",2023-03-24
"106","many bioinformatics programming tasks can be automated with chatgpt","stephen r. piccolo, paul denny, andrew luxton-reilly, samuel payne, perry g. ridge","other quantitative biology","computer programming is a fundamental tool for life scientists, allowing them to carry out many essential research tasks. however, despite a variety of educational efforts, learning to write code can be a challenging endeavor for both researchers and students in life science disciplines. recent advances in artificial intelligence have made it possible to translate human-language prompts to functional code, raising questions about whether these technologies can aid (or replace) life scientists' efforts to write code. using 184 programming exercises from an introductory-bioinformatics course, we evaluated the extent to which one such model -- openai's chatgpt -- can successfully complete basic- to moderate-level programming tasks. on its first attempt, chatgpt solved 139 (75.5%) of the exercises. for the remaining exercises, we provided natural-language feedback to the model, prompting it to try different approaches. within 7 or fewer attempts, chatgpt solved 179 (97.3%) of the exercises. these findings have important implications for life-sciences research and education. for many programming tasks, researchers no longer need to write code from scratch. instead, machine-learning models may produce usable solutions. instructors may need to adapt their pedagogical approaches and assessment techniques to account for these new capabilities that are available to the general public.",2023-03-07
"107","holographic torus correlators of stress tensor in $ads_3/cft_2$","song he, yi li, yun-ze li, yunda zhang","high energy physics - theory","in the context of $\rm ads_3/cft_2$, we investigate holographic correlators of the stress tensor of a conformal field theory (cft) on a torus in this work. to calculate the correlators of the stress tensor, we employ the einstein-hilbert theory of gravity and perturbatively solve einstein's equation in the bulk. we offer an explicit prescription to develop a recurrence relation that makes it simple to compute higher point correlators. the correlators and the recurrence relation are found to be consistent with what is known in cfts. following the spirit of the proposed cutoff $\rm ads$/$t\bar{t}$ cft holography, we then expand our computation program to investigate holographic torus correlators at a finite cutoff in the $\rm ads_3$. a parallel recurrence relation associated with higher point correlators can be obtained.",2023-03-23
"108","probabilistic relations for modelling epistemic and aleatoric uncertainty: semantics and automated reasoning with theorem proving","kangfeng ye, jim woodcock, simon foster","logic in computer science","probabilistic programming combines general computer programming, statistical inference, and formal semantics to help systems make decisions when facing uncertainty. probabilistic programs are ubiquitous, including having a significant impact on machine intelligence. while many probabilistic algorithms have been used in practice in different domains, their automated verification based on formal semantics is still a relatively new research area. in the last two decades, it has attracted much interest. many challenges, however, remain. the work presented in this paper, probabilistic relations, takes a step towards our vision to tackle these challenges.
our work is based on hehner's predicative probabilistic programming, but there are several obstacles to the broader adoption of his work. our contributions here include (1) the formalisation of its syntax and semantics by introducing an iverson bracket notation to separate relations from arithmetic; (2) the formalisation of relations using unifying theories of programming (utp) and probabilities outside the brackets using summation over the topological space of the real numbers; (3) the constructive semantics for probabilistic loops using kleene's fixed-point theorem; (4) the enrichment of its semantics from distributions to subdistributions and superdistributions to deal with the constructive semantics; (5) the unique fixed-point theorem to simplify the reasoning about probabilistic loops; and (6) the mechanisation of our theory in isabelle/utp, an implementation of utp in isabelle/hol, for automated reasoning using theorem proving.
we demonstrate our work with six examples, including problems in robot localisation, classification in machine learning, and the termination of probabilistic loops.",2023-03-16
"109","wikicoder: learning to write knowledge-powered code","théo matricon, nathanaël fijalkow, gaëtan margueritte","machine learning","we tackle the problem of automatic generation of computer programs from a few pairs of input-output examples. the starting point of this work is the observation that in many applications a solution program must use external knowledge not present in the examples: we call such programs knowledge-powered since they can refer to information collected from a knowledge graph such as wikipedia. this paper makes a first step towards knowledge-powered program synthesis. we present wikicoder, a system building upon state of the art machine-learned program synthesizers and integrating knowledge graphs. we evaluate it to show its wide applicability over different domains and discuss its limitations. wikicoder solves tasks that no program synthesizers were able to solve before thanks to the use of knowledge graphs, while integrating with recent developments in the field to operate at scale.",2023-03-15
"110","gene expression programming for quantum computing","gonzalo alvarez, ryan bennink, stephan irle, jacek jakowski","quantum physics","we introduce quantumgep, a scientific computer program that uses gene expression programming (gep) to find a quantum circuit that either (i) maps a given set of input states to a given set of output states, or (ii) transforms a fixed initial state to minimize a given physical quantity of the output state. quantumgep is a driver program that uses evendim, a generic computational engine for gep, both of which are free and open source. we apply quantumgep as a powerful solver for maxcut in graphs, and for condensed matter quantum many-body hamiltonians.",2023-03-14
